"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.2.4","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"2","0.367266","192.168.2.1","239.255.255.250","SSDP","311","NOTIFY * HTTP/1.1  "
"3","0.368458","192.168.2.1","239.255.255.250","SSDP","320","NOTIFY * HTTP/1.1  "
"4","0.368458","192.168.2.1","239.255.255.250","SSDP","383","NOTIFY * HTTP/1.1  "
"5","0.369291","192.168.2.1","239.255.255.250","SSDP","375","NOTIFY * HTTP/1.1  "
"6","0.369887","192.168.2.1","239.255.255.250","SSDP","320","NOTIFY * HTTP/1.1  "
"7","0.370625","192.168.2.1","239.255.255.250","SSDP","359","NOTIFY * HTTP/1.1  "
"8","0.370914","192.168.2.1","239.255.255.250","SSDP","391","NOTIFY * HTTP/1.1  "
"9","0.371520","192.168.2.1","239.255.255.250","SSDP","320","NOTIFY * HTTP/1.1  "
"10","0.372384","192.168.2.1","239.255.255.250","SSDP","379","NOTIFY * HTTP/1.1  "
"11","0.372910","192.168.2.1","239.255.255.250","SSDP","385","NOTIFY * HTTP/1.1  "
"12","0.373312","192.168.2.1","239.255.255.250","SSDP","373","NOTIFY * HTTP/1.1  "
"13","0.374255","192.168.2.1","239.255.255.250","SSDP","379","NOTIFY * HTTP/1.1  "
"14","0.374784","192.168.2.1","239.255.255.250","SSDP","309","NOTIFY * HTTP/1.1  "
"15","0.375361","192.168.2.1","239.255.255.250","SSDP","318","NOTIFY * HTTP/1.1  "
"16","0.375808","192.168.2.1","239.255.255.250","SSDP","373","NOTIFY * HTTP/1.1  "
"17","0.376572","192.168.2.1","239.255.255.250","SSDP","383","NOTIFY * HTTP/1.1  "
"18","2.727815","192.168.2.1","224.0.0.1","IGMPv2","46","Membership Query, general"
"19","2.999896","192.168.2.4","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"20","2.999980","192.168.2.4","224.0.0.252","IGMPv2","46","Membership Report group 224.0.0.252"
"21","3.000016","192.168.2.4","239.255.255.250","IGMPv2","46","Membership Report group 239.255.255.250"
"22","3.362522","192.168.2.1","239.255.255.250","SSDP","311","NOTIFY * HTTP/1.1  "
"23","3.363384","192.168.2.1","239.255.255.250","SSDP","320","NOTIFY * HTTP/1.1  "
"24","3.363959","192.168.2.1","239.255.255.250","SSDP","383","NOTIFY * HTTP/1.1  "
"25","3.364599","192.168.2.1","239.255.255.250","SSDP","375","NOTIFY * HTTP/1.1  "
"26","3.365172","192.168.2.1","239.255.255.250","SSDP","320","NOTIFY * HTTP/1.1  "
"27","3.365750","192.168.2.1","239.255.255.250","SSDP","359","NOTIFY * HTTP/1.1  "
"28","3.366387","192.168.2.1","239.255.255.250","SSDP","391","NOTIFY * HTTP/1.1  "
"29","3.367029","192.168.2.1","239.255.255.250","SSDP","320","NOTIFY * HTTP/1.1  "
"30","3.367667","192.168.2.1","239.255.255.250","SSDP","379","NOTIFY * HTTP/1.1  "
"31","3.368307","192.168.2.1","239.255.255.250","SSDP","385","NOTIFY * HTTP/1.1  "
"32","3.368849","192.168.2.1","239.255.255.250","SSDP","373","NOTIFY * HTTP/1.1  "
"33","3.369572","192.168.2.1","239.255.255.250","SSDP","379","NOTIFY * HTTP/1.1  "
"34","3.370156","192.168.2.1","239.255.255.250","SSDP","309","NOTIFY * HTTP/1.1  "
"35","3.370753","192.168.2.1","239.255.255.250","SSDP","318","NOTIFY * HTTP/1.1  "
"36","3.371442","192.168.2.1","239.255.255.250","SSDP","373","NOTIFY * HTTP/1.1  "
